Country,Happiness Score,Year,EG.ELC.ACCS.ZS,SE.PRM.TENR,NY.ADJ.NNTY.KD.ZG,NY.ADJ.AEDU.GN.ZS,NY.ADJ.ICTR.GN.ZS,SP.POP.DPND,SP.DYN.CBRT.IN,SP.DYN.CDRT.IN,SE.XPD.SECO.ZS,GC.XPN.TOTL.GD.ZS,SH.XPD.EHEX.CH.ZS,NY.GDP.MKTP.CD,NY.GDS.TOTL.ZS,SE.ADT.1524.LT.ZS,SH.DYN.NMRT,SH.DYN.MORT,SE.SEC.ENRL.TC.ZS,SE.PRM.ENRL.TC.ZS,EG.FEC.RNEW.ZS,AG.SRF.TOTL.K2,GC.TAX.TOTL.GD.ZS,NE.TRD.GNFS.ZS,SL.UEM.TOTL.NE.ZS,FP.WPI.TOTL
Hungary,5.323999882,2017,0,0,0,0,0,49.01838215,0,0,0,0,0,1.39E+11,30.36338933,0,2.4,4.5,0,0,0,93030,0,172.3603754,4.155700207,0
Iceland,7.504000187,2017,0,0,0,0,0,52.72437619,0,0,0,0,0,23909289979,26.28310069,0,1,2.1,0,0,0,103000,0,89.81261114,2.741899967,0
India,4.315000057,2017,0,0,0,0,0,50.99285062,0,0,0,0,0,2.60E+12,29.51339179,0,24,39.4,0,0,0,3287259.063,0,41.07037172,0,0
Indonesia,5.262000084,2017,0,92.7346,0,0,0,48.5350511,0,0,0,0,0,1.02E+12,33.58923562,0,12.4,25.4,15.3284,16.06371,0,1913580,0,39.53623536,4.184800148,0
Iraq,4.497000217,2017,0,0,0,0,0,77.25593131,0,0,0,0,0,1.92E+11,16.44762533,0,17.1,30.4,0,0,0,435051.9922,0,75.99849712,0,0
Ireland,6.977000237,2017,0,0,0,0,0,55.19570627,0,0,0,0,0,3.34E+11,56.34923669,0,2.2,3.5,0,0,0,70280,0,207.890848,6.710499763,0
Israel,7.212999821,2017,0,0,0,0,0,65.55075783,0,0,0,0,0,3.51E+11,0,0,2,3.6,0,0,0,22070,0,0,4.215000153,0
Italy,5.964000225,2017,0,0,0,0,0,57.57652093,0,0,0,0,0,1.93E+12,20.32814061,0,2,3.4,0,0,0,301340,0,59.5145989,11.2105999,0
Jamaica,5.31099987,2017,0,0,0,0,0,47.95270508,0,0,36.25373,0,0,14781107822,8.116679307,0,10.8,15.2,15.49229,22.10634,0,10990,0,82.57010082,11.6590004,0
Japan,5.920000076,2017,0,0,0,0,0,66.48737985,0,0,0,0,0,4.87E+12,0,0,0.9,2.6,0,0,0,377970,0,0,2.799999952,0
Jordan,5.335999966,2017,0,0,0,0,0,64.78502892,0,0,37.67145,0,0,40068308451,1.402247971,0,10.1,17,11.431,21.03903,0,89320,0,92.93903626,0,0
Kazakhstan,5.818999767,2017,0,99.10345,0,0,0,53.65551934,0,0,0,19.48389349,0,1.63E+11,37.23529664,0,5.3,10,6.59153,20.75555,0,2724901.875,10.55011984,60.62161328,4.900000095,0
Kenya,4.552999973,2017,0,0,0,0,0,75.9102398,0,0,0,0,0,79263075749,4.849849927,0,20.9,45.6,0,0,0,580370,0,37.25010876,0,0
Kosovo,5.278999805,2017,0,0,0,0,0,0,0,0,0,0,0,7244888738,2.488345624,0,0,0,0,0,0,10887,0,79.18271255,0,0
Kuwait,6.105000019,2017,0,93.19527,0,0,0,30.61064682,0,0,0,0,0,1.20E+11,31.72642263,99.24358,4.3,8.1,0,8.8586,0,17820,0,97.97635744,0,0
Latvia,5.849999905,2017,0,0,0,0,0,54.225764,0,0,0,0,0,30264454642,20.1398807,0,2.2,4.2,0,0,0,64490,0,122.262454,8.715000153,0
Lebanon,5.224999905,2017,0,88.54315,0,0,0,46.20590073,0,0,0,25.71718914,0,53576985687,0.449711574,0,4.5,7.8,7.88391,12.48274,0,10450,15.20240258,67.8459773,0,0
Lesotho,3.808000088,2017,0,81.56503,0,0,0,66.38126144,0,0,0,41.29707849,0,2578265358,0,0,37.9,85.9,25.34293,32.94806,0,30360,37.24961501,0,0,0
Liberia,3.532999992,2017,0,0,0,0,0,81.38261376,0,0,0,0,0,3285455000,-53.93535142,0,25.1,74.7,0,0,0,111370,0,122.9898812,0,0
Libya,5.525000095,2017,0,0,0,0,0,48.33060427,0,0,0,0,0,38107728083,0,0,6.5,12.4,0,0,0,1759540,0,72.60801571,0,0
Lithuania,5.90199995,2017,0,0,0,0,0,51.11579134,0,0,0,0,0,47168303744,19.4676944,0,2,4.3,0,0,0,65286.00098,0,160.6015819,7.073200226,0
Luxembourg,6.862999916,2017,0,0,0,0,0,44.41457133,0,0,0,0,0,62404461275,53.3509513,0,1.7,2.6,0,0,0,2590,0,423.9862527,5.52159977,0
Madagascar,3.644000053,2017,0,0,0,0,0,78.2503621,0,0,0,0,0,11499803807,11.5,0,18.4,44.2,20.04302,0,0,587295,0,74.4538253,0,0
Malawi,3.970000029,2017,0,0,0,0,0,88.56696388,0,0,0,18.79216588,0,6303292264,6.212306681,0,22.7,55.4,69.69511,62.30909,0,118480,17.28792384,65.32987076,0,0
Malaysia,6.084000111,2017,0,98.60314,0,0,0,44.10520795,0,0,0,0,0,3.15E+11,32.50025861,0,4.3,7.9,11.8761,11.6556,0,330345,0,135.8374588,3.410000086,0
Mali,4.190000057,2017,0,67.25739,0,0,0,100.9025782,0,0,0,12.50163249,0,15334336144,6.458809991,0,35.4,106,17.43224,38.22009,0,1240190,15.87603137,61.80884567,0,0
