ï»¿Country Name,Year,EG.ELC.ACCS.ZS,SE.PRM.TENR,NY.ADJ.NNTY.KD.ZG,NY.ADJ.NNTY.PC.KD.ZG,NY.ADJ.AEDU.GN.ZS,NY.ADJ.ICTR.GN.ZS,SP.POP.DPND,SP.DYN.CBRT.IN,per_si_allsi.cov_q1_tot,per_si_allsi.cov_q5_tot,per_allsp.cov_pop_tot,per_sa_allsa.cov_pop_tot,SP.DYN.CDRT.IN,SE.XPD.PRIM.ZS,SE.XPD.SECO.ZS,GC.XPN.TOTL.GD.ZS,SH.XPD.EHEX.CH.ZS,NY.GDP.MKTP.CD,NY.GDP.MKTP.KD.ZG,NY.GDS.TOTL.ZS,SE.ADT.1524.LT.ZS,NV.IND.MANF.KD.ZG,SH.DYN.NMRT,SH.DYN.MORT,SP.POP.TOTL,SE.SEC.ENRL.TC.ZS,SE.PRM.ENRL.TC.ZS,EG.FEC.RNEW.ZS,AG.SRF.TOTL.K2,GC.TAX.TOTL.GD.ZS,NE.TRD.GNFS.ZS,SL.UEM.TOTL.NE.ZS,FP.WPI.TOTL
Belarus,2016,100,96.42555,-15.6865277901561,-15.7922841829446,4.92641553030256,22.80594633,44.966823973522,12.4,..,..,..,..,12.6,..,..,29.4170537971155,..,47749057078.1996,-2.52644643552361,29.837070427282,..,-0.0500183075992169,1.6,3.9,9501534,8.29763,18.33759,..,207600,13.7882356123814,125.209322899662,5.84000015258789,..
Belgium,2016,100,98.66219,2.36894664004545,1.85196251039048,6.22215991049321,23.85386431,54.7983939052332,10.8,..,..,..,..,9.5,..,..,41.445087224873,..,467545548764.571,1.41229201545339,25.2824374889987,..,0.349411429841282,2.1,3.9,11331422,9.14736,11.30569,..,30530,23.1360261343397,164.544702629143,7.82969999313354,..
Belize,2016,92.2143173217773,99.17624,-3.83527420673482,-5.84424205537846,6.39,..,55.6604734029015,22.534,..,..,..,..,5.483,33.03149,41.67663,..,..,1806646250,-0.588023649731511,10.3467903581014,..,-7.53825238235709,9.2,14.9,366954,18.40628,20.50666,..,22970,..,112.219874255959,7.90999984741211,..
Benin,2016,41.4026145935059,..,-0.265888922338604,-2.98433950945649,4.01059221652252,21.0817539,85.5341905465139,37.026,..,..,..,..,9.172,..,..,..,..,8573159696.61128,3.96485991037314,10.6857552054955,..,4.62812560573755,33.1,101,10872298,10.99168,41.63992,..,114760,..,61.0906566522829,..,..
Bermuda,2016,100,..,..,..,2.1,..,..,9.6,..,..,..,..,8,..,..,..,..,..,..,..,..,..,..,..,65341,..,..,..,4290,..,..,..,..
Bhutan,2016,100,82.99547,6.41324200759752,5.0287954114234,6.94566347354485,33.19712117,46.4630145386249,18.165,..,..,..,..,6.022,..,..,16.5699350017814,..,2219675780.89539,8.02210122067797,32.5888661201362,..,2.42309729495487,17.6,32,797765,11.41873,38.03778,..,38393.9990234375,13.1221363901926,77.6897625358544,..,..
Bolivia,2016,93.0391311645508,90.8799499999999,3.75550667144947,2.20051991533592,6.08,15.33280999,62.8959710638084,23.252,..,..,..,..,7.297,..,..,..,..,33941126193.9219,4.26391940393987,13.6323383869836,..,6.18482321057958,19.2,36.1,10887882,20.01377,18.35972,..,1098580,..,56.4010345452952,3.05599999427795,..
Bosnia and Herzegovina,2016,100,..,4.08203659970681,4.64864303879871,..,14.79692774,43.5833619126941,9.158,..,..,..,..,11.037,..,..,35.3266106177172,..,16911088173.7458,3.14406999762494,-0.867674598698115,..,5.38680471720028,4.1,5.9,3516816,9.73101999999999,17.28654,..,51210,19.9541372036541,87.7617410681663,25.4099998474121,..
Botswana,2016,60.6883964538574,..,3.96145281996563,2.06435242394637,9.48,43.98348216,54.9102244080015,23.669,..,..,..,..,6.684,..,..,25.8123931039954,..,15648632361.5749,4.31548650431786,34.4879442138474,..,1.55205652722226,26.2,39.3,2250260,..,..,..,581730,20.8476378152197,92.9109735459173,..,..
Brazil,2016,100,97.20202,-3.96647714074656,-4.7484039926055,5.68859537743985,14.17305288,43.6443157926871,14.163,..,..,..,..,6.165,..,..,35.7332420572231,..,1793989048409.29,-3.46816285562606,15.8021948074173,..,-5.5727592067886,9.6,16.3,207652865,16.60114,20.31899,..,8515770,12.7892269167437,24.5742827331193,11.6094999313354,151.751301656654
British Virgin Islands,2016,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,30661,7.45055,10.53822,..,150,..,..,..,..
