ï»¿Country Name,Year,EG.ELC.ACCS.ZS,SE.PRM.TENR,NY.ADJ.NNTY.KD.ZG,NY.ADJ.NNTY.PC.KD.ZG,NY.ADJ.AEDU.GN.ZS,NY.ADJ.ICTR.GN.ZS,SP.POP.DPND,SP.DYN.CBRT.IN,per_si_allsi.cov_q1_tot,per_si_allsi.cov_q5_tot,per_allsp.cov_pop_tot,per_sa_allsa.cov_pop_tot,SP.DYN.CDRT.IN,SE.XPD.PRIM.ZS,SE.XPD.SECO.ZS,GC.XPN.TOTL.GD.ZS,SH.XPD.EHEX.CH.ZS,NY.GDP.MKTP.CD,NY.GDP.MKTP.KD.ZG,NY.GDS.TOTL.ZS,SE.ADT.1524.LT.ZS,NV.IND.MANF.KD.ZG,SH.DYN.NMRT,SH.DYN.MORT,SP.POP.TOTL,SE.SEC.ENRL.TC.ZS,SE.PRM.ENRL.TC.ZS,EG.FEC.RNEW.ZS,AG.SRF.TOTL.K2,GC.TAX.TOTL.GD.ZS,NE.TRD.GNFS.ZS,SL.UEM.TOTL.NE.ZS,FP.WPI.TOTL
Afghanistan,2015,71.5,..,..,..,2.64374189312687,-10.28844725,88.7687273393836,33.98,..,..,..,..,6.924,56.69549,24.3563,37.0225695736427,16.44546401,1.99071114189938E10,1.45131465458005,2.94818036425211,..,0.409391082824413,41.5,73.1,33736494,37.72088,44.32877,18.4234771693218,652860,7.58538233129798,55.1255265979591,..,..
Albania,2015,100,95.59661,4.61846802464052,4.92356707507196,3.22728502181027,15.80204856,44.0166438612638,11.879,..,..,..,..,7.217,56.76693,21.58166,24.4461757489854,0.76512774,1.13869314897968E10,2.21999999999991,8.19454970239983,..,4.99999999999999,5.9,9.4,2880703,13.50589,18.61557,38.6152104692153,28750,18.5157898553099,71.8010161004583,17.0799999237061,..
Algeria,2015,99.3367080688477,99.2671,-2.76044170117467,-4.60959309801964,4.4671956,36.80385887,52.7249187566745,23.9,..,..,..,..,4.773,..,..,..,0.02604974,1.65979277276907E11,3.76346695783126,37.4289678801955,..,1.84288495687011,15.5,24.9,39871528,..,23.83613,0.0589586840918149,2381740,..,59.6951291204194,11.2061004638672,..
American Samoa,2015,..,..,..,..,11.760709,..,..,..,..,..,..,..,..,..,..,..,..,661000000,1.24804992199688,..,..,..,..,..,55537,..,..,0.885478201974834,200,..,163.993948562784,..,..
Andorra,2015,100,..,..,..,2.44,..,..,..,..,..,..,..,..,22.07571,24.91345,..,..,2.81148940889431E9,0.842203518374134,..,..,..,1.5,3.5,78014,8.07904,9.93795,19.7478086257358,470,..,..,..,..
Angola,2015,42,..,10.4848834385896,6.76162051144182,3.57,-0.451391478,97.5761986937093,42.321,..,..,..,..,8.683,..,..,20.818831842683,2.7696619,1.16193649124475E11,0.94357561306073,30.8231673301691,..,12.0243365280067,30.6,88.9,27859305,..,50.02951,49.5682103295777,1246700,11.0020191366716,62.8885207849744,..,..
Antigua and Barbuda,2015,96.8262939453125,81.47279,..,..,2.25,..,45.226364363055,16.367,..,..,..,..,5.794,..,..,..,0.16920474,1.35919473740741E9,4.02573908155404,..,..,1.51611669391716,4.2,8,99923,11.48074,14.33428,0,440,..,93.6295425365057,..,..
Argentina,2015,99.9952087402344,99.7343,2.19356665853401,1.16675324575732,5.05731390486252,14.60355782,56.5490070488899,17.364,..,..,..,..,7.57,30.04134,41.33272,25.0083932347048,0.57692067,5.94749285413212E11,2.73115982828946,15.9957828960867,99.5597,0.765932390755125,6.7,11.4,43417765,..,..,10.040077613914,2780400,12.3365069418291,22.4862260889792,..,..
Armenia,2015,100,92.80933,-2.1063902247966,-2.46649184905752,2.70019284717504,17.42676423,44.4122587662516,13.808,..,..,..,..,9.694,19.3593,..,25.0779813488419,1.0829009,1.05533376729872E10,3.20000000000005,8.80828526547093,..,-5.5,7.4,14,2916950,..,..,15.7920038357833,29740,20.931220827141,71.5932653468932,..,..
Aruba,2015,95.2381820678711,..,..,..,5.77,..,44.5927219312103,10.963,..,..,..,..,8.624,23.84105,30.67691,..,..,2.69162011173184E9,-0.450585761489947,15.4628476546285,..,..,..,..,104341,..,..,6.72674756598399,180,..,145.24699045247,..,..
